Sl,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Cases,Total Cases/1M Pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
,,"1,682,539","+22,231","102,869","+1,207","431,124","1,148,546","17,523",,,,,
,,"1,780,722","+19,370","162,838","+1,166","769,682","848,202","11,601",,,,,
,,"437,649","+13,102","23,041",+635,"148,759","265,849","10,427",,,,,
,,"798,260","+20,180","24,714",+412,"457,916","315,630","4,975",,,,,
,,"86,038","+2,675","2,771",+45,"33,362","49,905",288,,,,,
,,"8,648",+10,119,,"7,900",629,16,,,,,
,,721,,15,,651,55,4,,,,,
,,"4,794,577","+77,568","316,367","+3,465","1,849,394","2,628,816","44,834",615,40.6,,,
1,USA,"1,526,043","+18,270","90,928 ",+815,"344,805","1,090,310","16,366","4,614",275,"11,771,139","35,588", 
2,Russia,"281,752","+9,709","2,631 ",+94,"67,373","211,748","2,300","1,931",18,"6,916,088","47,394", 
3,Spain,"277,719","+1,214","27,650 ",+87,"195,945","54,124","1,152","5,940",591,"3,037,840","64,977", 
4,UK,"243,695","+3,534","34,636 ",+170,N/A,N/A,"1,559","3,592",511,"2,580,769","38,041", 
5,Brazil,"239,483","+6,341","16,062 ",+429,"89,672","133,749","8,318","1,128",76,"735,224","3,462", 
6,Italy,"225,435",+675,"31,908 ",+145,"125,176","68,351",762,"3,728",528,"3,004,960","49,691", 
7,France,"179,569",+204,"28,108 ",+483,"61,213","90,248","2,087","2,752",431,"1,384,633","21,218", 
8,Germany,"176,625",+381,"8,048 ",+21,"153,400","15,177","1,166","2,109",96,"3,147,771","37,585", 
9,Turkey,"149,435","+1,368","4,140 ",+44,"109,962","35,333",914,"1,774",49,"1,624,994","19,293", 
10,Iran,"120,198","+1,806","6,988 ",+51,"94,464","18,746","2,705","1,433",83,"686,935","8,192", 
11,India,"95,698","+5,050","3,025 ",+154,"36,795","55,878",,69,2,"2,227,642","1,616", 
